极速AK,#genre#
📺 AXN,https://s1.m16tv.cfd/aktv/axn/AKTV.m3u8
📺 Channel 5 HD,https://s1.m16tv.cfd/aktv/channel5hd/AKTV.m3u8
📺 Channel 8 HD,https://s1.m16tv.cfd/aktv/channel8hd/AKTV.m3u8
📺 Channel U HD,https://s1.m16tv.cfd/aktv/channeluhd/AKTV.m3u8
📺 myTV SUPER 18台,https://s1.m16tv.cfd/aktv/mytvsuper18/AKTV.m3u8
📺 PopC,https://s1.m16tv.cfd/aktv/popc/AKTV.m3u8
📺 ROCK Action,https://s1.m16tv.cfd/aktv/rockaction/AKTV.m3u8
📺 TVB Plus,https://s1.m16tv.cfd/aktv/tvbplus/AKTV.m3u8
📺 tvN,https://s1.m16tv.cfd/aktv/tvn/AKTV.m3u8
📺 明珠剧集台(北美),https://s1.m16tv.cfd/aktv/CH-19/AKTV.m3u8
📺 明珠台,https://s1.m16tv.cfd/aktv/CH-2/AKTV.m3u8
📺 無線新聞台,https://s1.m16tv.cfd/aktv/CH-1/AKTV.m3u8
📺 美亞電影台(HK),https://s1.m16tv.cfd/aktv/hk/AKTV.m3u8
📺 翡翠剧集台(北美),https://s1.m16tv.cfd/aktv/CH-18/AKTV.m3u8
📺 翡翠台,https://s1.m16tv.cfd/aktv/CH-0/AKTV.m3u8
📺 翡翠综合台(北美),https://s1.m16tv.cfd/aktv/CH-17/AKTV.m3u8
📺 鳳凰衛視中文台,https://s1.m16tv.cfd/aktv/CH-3/AKTV.m3u8
📺 鳳凰衛視資訊台,https://s1.m16tv.cfd/aktv/CH-4/AKTV.m3u8
📺 鳳凰衛視香港台,https://s1.m16tv.cfd/aktv/CH-5/AKTV.m3u8
📺 Japan News 24H LIVE,https://s1.m16tv.cfd/aktvjp/japannews24hlive/AKTV.m3u8
📺 日テレNEWS LIVE,https://s1.m16tv.cfd/aktvjp/ntv/AKTV.m3u8
📺 HBO,https://s1.m16tv.cfd/aktv2/hbo/AKTV.m3u8
📺 IQIYI,https://s1.m16tv.cfd/aktv2/iqiyi/AKTV.m3u8
📺 VIUTV,https://s1.m16tv.cfd/aktv2/viutv/AKTV.m3u8
📺 東森洋片,https://s1.m16tv.cfd/aktv2/CH-2/AKTV.m3u8
📺 東森電影,https://s1.m16tv.cfd/aktv2/CH-1/AKTV.m3u8
📺 緯來體育台,https://s1.m16tv.cfd/aktv2/CH-0/AKTV.m3u8
📺 CNA,https://s1.m16tv.cfd/aktv3/cna/AKTV.m3u8
📺 KPOP+,https://s1.m16tv.cfd/aktv3/kpop/AKTV.m3u8
📺 朝鲜恩情台,https://s1.m16tv.cfd/aktv3/CH-0/AKTV.m3u8
📺 民視第一台,https://s1.m16tv.cfd/taiwan/CH-0/AKTV.m3u8
📺 TVBS新聞,https://s1.m16tv.cfd/tvbs/tvbs/AKTV.m3u8
📺 中天新闻台,https://s1.m16tv.cfd/zhongtian/CH-0/AKTV.m3u8
📺 東森新聞,https://s1.m16tv.cfd/zhongtian/CH-1/AKTV.m3u8

极速169,#genre#
盗源狗si全家 全家下地狱
翡翠台,http://erp.giihgtidg.com:8080/live/jade01.m3u8
无线新闻,http://erp.giihgtidg.com:8080/live/wxxw01.m3u8
mytv18,https://ali.hlspull.yximgs.com/live/xiangjiaogemytv0318.flv
广电翡翠,https://ali.hlspull.yximgs.com/live/xiangjiaoge15131132145.flv
tvbplus,https://ali.hlspull.yximgs.com/live/xaigjiaogetvbplus01.flv
Hoy77,https://ali.hlspull.yximgs.com/live/xiangjiaogehoy77511.flv
Hoy78,https://ali.hlspull.yximgs.com/live/xaigjiaogehoy7801.flv
Now爆谷,https://ali.hlspull.yximgs.com/live/xiangjiaoge1116163133.flv
Now星影,https://ali.hlspull.yximgs.com/live/xiangjiaogef31fdg31g1gdg.flv
NOW体育prime,http://push-rtmp-hs-spe-f5.douyincdn.com/live/xiangjiaoge-prime.flv
Now新闻,https://gdfire2.67890123.cn:8088/live/nowxw01.m3u8
Now体育1,http://erp.giihgtidg.com:8080/live/nowty01.m3u8
Now体育2,https://gdfire2.67890123.cn:8088/live/nowty101.m3u8
Now体育3,https://gdfire2.67890123.cn:8088/live/nowty201.m3u8
东森新闻,https://gdfire2.67890123.cn:8088/live/dsxw01.m3u8
中天新闻,https://gdfire2.67890123.cn:8088/live/ztxw01.m3u8
中天新闻2,https://gdfire2.67890123.cn:8088/live/ztxw201.m3u8
寰宇新闻,https://gdfire2.67890123.cn:8088/live/hyxw01.m3u8
龙华电影,https://cdn8.163189.xyz/live/lhdy/stream.m3u8
龙华经典,https://cdn8.163189.xyz/live/lhjd/stream.m3u8
龙华卡通,https://cdn8.163189.xyz/live/lhkt/stream.m3u8
龙华偶像,https://cdn8.163189.xyz/live/lhox/stream.m3u8
龙华日韩,https://cdn8.163189.xyz/live/lhrh/stream.m3u8
龙华戏剧,https://cdn8.163189.xyz/live/lhxj/stream.m3u8
极速awei,#genre#
盗源狗si全家 全家下地狱
-凤凰中文,http://ali.hlspull.yximgs.com/live/awei_fhzw.flv
-凤凰资讯,http://ali.hlspull.yximgs.com/live/awei_fhzx.flv
-凤凰香港,http://ali.hlspull.yximgs.com/live/awei_fhxg.flv
